UNIX TimeStamp,Virtual Price, FRAX Balance,3CRV Balance
1655895720,1008175994602989306,763819972301715735340065160,479360276526595566891180455
1655802849,1008171703566677879,758719014203271768713529435,486057466687219116744456671
1655717169,1008166997677485841,759509933811385352291935854,481466052845586625638131798
1655630605,1008161673351487214,761124195437814262497704370,491433983624707244914951619
1655544843,1008148538142440302,778252025227616194046406837,510543261887640592575517496
1655459012,1008136603805875912,803769014775509444376689825,524347932945739588751795335
1655374443,1008132339673001678,802058326010451638619216354,522781214754340307638271324
1655288625,1008121520990410784,787451603235621480356118925,527956591108716663311106264
1655201693,1008103375503575382,809016309543145189781206690,582899820682127427336081864
1655115375,1008077300607825411,795837527576023000037888213,742379169694972702816870391
1655030421,1008066805534934912,802174930363470427110474594,810385326249805448864393964
1654945776,1008063351809926115,801087662127021601605453892,809921466282512205125454196
1654860494,1008059718928226955,785568161393676192606217077,806319643312530152377388236
1654775275,1008057804384763072,788432857913421707968350128,803229836297223273352902030
1654691113,1008055822658134946,791832572016884100846692132,804192502269299806449582803
1654606246,1008050838521475720,774678807226434604348528090,803616302322405740100118353
1654521038,1008045482622213594,764498505940738981112958712,788452210780248503154557680
1654435887,1008040232145234634,761295551290571117910126190,765288406650642957460633864
1654351315,1008038819651280094,760058216779213652606029299,766495912754355301434481446
1654269773,1008036572122541672,755167388760794030043801551,758453862000668755386490816
1654188751,1008030215572014714,710499499841607292923858517,757830765256748804544346491
1654107946,1008034213290205237,713264684892052714305868992,748744499831916088574506668
1654026397,1008034935254274326,715599214617928531131683285,680896232378438278568248013
1653944926,1008039646053336955,716605222423312067470203961,672779626381642470213711374
1653863562,1008042900813207289,717083484292130269002486379,670513618235153744612582226
1653782717,1008049118471421918,717322954404361427745860058,670149197488545774730777423
1653702683,1008051404819672899,721065420473583179760721446,660095546034299090356578698
1653621345,1008054013400109348,720907595772905223765080302,656093261522949310550381920
1653540241,1008055276672167004,720264119189043013381712669,658288524077763668706482421
1653459065,1008051839282421269,721598309051564519940593172,650092905844090443804014816
1653377540,1008048197515392301,718325252024715955240548774,651535317472514311842488748
1653297720,1008044739583057177,722770682456091502293575600,644263993894267404811036298
1653217170,1008040874212632133,729956092238838159406847207,628689418801455299059906656
1653135290,1008039216019321290,731092241331204994909016782,628114233410235586044481847
1653054283,1008026238798783685,749629237892275433192375537,593934473441670508108710634
1652973970,1008021676119033991,746436520463711629503333017,589571700115053960486706905
1652892232,1008013746237479477,740481967345344878026109978,574015616458593050067502117
1652812833,1008007776726860776,787944977199081840021584837,579511147489469208292376901
1652733955,1008002295541650348,786035407839956808586968302,578165049719757406173597257
1652654683,1007996352184680495,769492352277304125637834273,549178145543628268654978127
1652575362,1007985364756119714,762811462621722020590049018,532229199589731480879667779
1652496290,1007972107061400621,743746384100327989563783133,553919288350281861448714880
1652417952,1007941189713832716,916487922381486971327477267,586692601857776672707269391
1652337842,1007816985642879926,1090117530033714878414029477,899832340622593249311154836
1652258447,1007698750933516484,1586444839825558282814350386,1109657725197506347483380072
1652179299,1007670487431070383,1562251858453220180539905463,1172193117455067302265040984
1652098064,1007634126709067131,1543872786902267042087862820,1226714997307091257717020489
1652019513,1007621289554761228,1544988733072343861917159060,1228755410252114975988082534
1651940582,1007595898133838974,1544419284501770033763099575,1242722113670463274057810536
1651860803,1007591155773743745,1566708983660770756635612275,1218170843623268557684048845
1651782284,1007585435027739286,1570932381407719801024646405,1156502253295704319015490500
1651702867,1007580572982139049,1603714751376443615274056778,1120085915277129064580879097
1651623437,1007577837686872451,1608999768788591060025262973,1117527711197453090547826481
1651544802,1007575489173661225,1611900880443583365593108117,1117514397835065933952293771
1651466418,1007572015549602099,1608587007257170870700777945,1114856429212678537510624675
1651387716,1007569951202651178,1602300707835230964349231059,1125134033855986182668459343
1651310167,1007565610131261927,1588599478862750909374666983,1140040380849696157463891373
1651232544,1007563891789353250,1585054673156402012105154940,1142976009467750762120261879
1651153799,1007561719117830220,1592752050440325440956192509,1135602573358374072406009026
1651075159,1007559261787834192,1596911349375216497089122433,1137873638106775011199620221
1650997590,1007556925243837409,1600532668065218571992974794,1138164912355069279591941690
1650918718,1007551326389935585,1597968671988469548605579297,1202285450631351799535554713
1650840145,1007548745264652266,1594798396881654670312113367,1203965240724814995119725674
1650761884,1007545501339222563,1594521495656407148962160475,1200052721220742372887750869
1650683714,1007543937919197916,1594389580449267411208462685,1200132878719941941770824078
1650606588,1007540638619308079,1596360095136947251363609574,1200063958095934996907836770
1650528389,1007537677228334120,1595641724841840708245269386,1200670185500676881759407535
1650450853,1007533614701584726,1596395976889151837701187107,1226694496646648071333309639
1650372783,1007532003171753980,1591788451050846305747990666,1230516778212903361723969485
1650294123,1007528327417746676,1603811503022927934891326640,1241892638332820229790128056
1650216573,1007526809847968987,1605173905033838628410780551,1238664919851218817707335602
1650138277,1007515730002907701,1601499523867992285366068682,1236944230863876359118205972
1650061024,1007514713542247209,1601783786792626855571732357,1243264054460258499600835900
1649983325,1007513362526698412,1600796144447175172345460777,1247145012258793797205060872
1649905925,1007511250067562370,1604386744818966190599386986,1246645326591180885233871222
1649827049,1007508473426208551,1613205705017018054286855841,1234600001673764935665568377
1649750529,1007506348270508639,1613342934578258359422438577,1233571485953056718820716345
1649671653,1007499724257802687,1604712754290916694106844633,1240637527935187669780984323
1649594478,1007497784325338345,1604395976864692676851262780,1240518484340668274025825486
1649517230,1007495957256910097,1611123049997109826998864891,1233607913410540919172288274
1649439088,1007494106901348709,1614451869348892964438630238,1228552658369727988498317062
1649360993,1007491433499622662,1626224951556441469990096422,1219066073721082266762352806
1649283599,1007489958144952074,1627148577258258078655504757,1217394114440652834605851815
1649205957,1007486821312845445,1624568829266570591606259772,1202750058280610557043447235
1649128565,1007483134804899851,1630628837782295315460333929,1180511624031655638337664106
1649050936,1007479182418650768,1624077604885341169645090405,1187126035955474047731212272
1648972036,1007477084573634432,1626068404067973133683955780,1183392471587636213317190155
1648895046,1007469000665324324,1625644805145397742212168065,1235863211713551695516559412
1648816860,1007465821691965553,1636532668373919756415661300,1218450313811567539227699593
1648739078,1007461744593007662,1634673521057408150215494002,1222516602837626146799469995
