UNIX TimeStamp,Virtual Price, MIM Balance,3CRV Balance
1655895720,1007314096860991277,71987385438274769397219824,7950519058019492058781452
1655802849,1007301680950875367,67494844307072422468639062,6434915194113282167506953
1655717169,1007296183429992054,66394370668316623227566550,6432455362212921802694055
1655630605,1007248443837313698,64434760390816349749232579,5490949961262282435593870
1655544843,1007091860046806021,73661111286605726849592486,2102885404591978756833286
1655459012,1006681314256223526,155942895139417078992057764,65272794093012633843285285
1655374443,1006666554641372586,158179122140801102397465253,51922589198468999729596324
1655288625,1006647918276481774,161487522402759174937908450,61038801393928772652804826
1655201693,1006629272073948067,164631320822640480997167781,61730410648490753101294836
1655115375,1006575290066127910,201555714305247716865605676,109598406112499097202967724
1655030421,1006554422572504393,217877557488163825684085962,100233273781836720991987461
1654945776,1006541369058502909,235302888845437268549067649,88594757693150233588219314
1654860494,1006536379436723328,232242263577276772986221908,86188882053658882419602646
1654775275,1006533508652398236,233851408101125185425102190,87169323534851584368840125
1654691113,1006531746151058747,232337195316647382672677889,87329072414893557892806338
1654606246,1006527362242727427,231996783008181619101040308,89539279540219082509520540
1654521038,1006524129153974318,232198485538765923558121466,87926298128173749344985099
1654435887,1006517822513447192,232572857678077942749946072,77504092889254469992835610
1654351315,1006516632394177930,232990252841845341436405567,77541888480432739082756615
1654269773,1006515064282645124,227171828764325965653145428,76693906620321640993643490
1654188751,1006509454803011036,230195339768153542824898539,69097115183787572173010691
1654107946,1006509234465497533,230209597174233702955875907,66228750267841140028223608
1654026397,1006509120394361800,230715321318382946624734336,69650747743478185489580009
1653944926,1006502400771565345,225708025658439039233221606,68666899111766884972021181
1653863562,1006502427172530013,227920343490065594303152038,69638388389645700609741492
1653782717,1006501676664830108,226514873935353387998182140,73620238261979505210505032
1653702683,1006502733323511306,226543982961730496105747663,73198948377794913703581482
1653621345,1006497557584453574,236424398765032146078750879,67076364241543519760839074
1653540241,1006491687719702395,231745385308286760838410615,62974983252931920160646336
1653459065,1006487076112988794,234942373644923386558241839,58018857257982095906291240
1653377540,1006480856271984142,235418649024880450318218440,62561357328141404773624065
1653297720,1006476567965815178,237091741694409278411813192,57775573423518505225645956
1653217170,1006461598367529460,237393459989978504272511133,34853553578944259799872862
1653135290,1006457837493584920,239205843047586385215297816,35518187496464325127706821
1653054283,1006453867725304209,240175439135867972008667893,33911580459891333166802382
1652973970,1006450877771309907,240534422976830360718302086,32746790253344886908110796
1652892232,1006439101317747769,231593468120439681031561546,39458465149289038208051246
1652812833,1006425406106021859,228251679853084048469242272,30874312393528817709015001
1652733955,1006420219856374214,227847258067839804742742666,28491397382537164099380611
1652654683,1006409650645845473,255337595426634991244345369,34352990960679844591323383
1652575362,1006387427981009799,254812516315535855514478040,38392757591043463260098294
1652496290,1006380146960457861,256534211411451673824882941,32812080992073346571857431
1652417952,1006358058416134765,260456454840167555120687603,31819279832224365813907790
1652337842,1006225583302782535,277483725868295554438943306,100739625310814239135360375
1652258447,1006079281226726394,435859856258593999840468491,74999882096012698423226773
1652179299,1005933488583068765,481122643687869605238899931,84436127265774377877239984
1652098064,1005803205107464666,676214059130991383276014574,104232441008295377651940721
1652019513,1005778920648849304,763380437926913877632403993,91174222343352321832258730
1651940582,1005738369005672971,770679056146874257991276941,107622651244945709107838493
1651860803,1005734883641996550,773026525477584982413348459,106018178407180371926220332
1651782284,1005728923008265319,761637293159804454780436093,113941501787565825572774687
1651702867,1005724357003145309,769386914854411792276782961,98296214752633658993663505
1651623437,1005717344927035498,764206279274296136914318411,113078668766850402046430888
1651544802,1005715512302365556,763148325472294598855230322,114752700835915471797176373
1651466418,1005698313542830380,787929205654487673608066808,163644966879476497907547112
