UNIX TimeStamp,Virtual Price, USDT Balance,DAI Balance,USDC Balance,sUSD Balance
1655115375,1052645251891445678,26927369989374,23156562616857099716764070,22696998887262,20174988299598212012518029
1655030421,1052583666744892888,33741362651520,29546001794635175438011827,29383287339388,23399515047346589104467432
1654945776,1052564717415472151,32437373065848,28850181777127340323476871,29782878853257,25108325536261391341756272
1654860494,1052541645235261488,32192626831427,30027140133375944933037350,30287262202793,23669497055666171939180844
1654775275,1052524650613945549,32252314395460,30209481580111335915595355,29975321296622,23919020982434838959998351
1654691113,1052498928112738508,31095813942243,29099148171914470566237791,29174625682425,23051756598680401536412618
1654606246,1052406150060900740,30406414991168,27045672034883494711057187,26701518658723,25443224116975913432959648
1654521038,1052310793500017773,29000526762849,27433860849404030963719595,27662565371148,21440887071766392515665626
1654435887,1052198144353698007,29006535964279,26768453788927171929181721,26940417847057,20553876441977107512211470
1654351315,1052084032534353630,27837384782455,26482778387096852697495608,25619743232120,22519103279869190129728854
1654269773,1052065450267598448,27746602787302,25129508212191510120148235,24717378602501,24734876963623695122154691
1654188751,1052057895198461099,27358527036210,24809792136792455315533517,24378144894822,26061338542699829070491787
1654107946,1052039758999713994,25770711823809,23337462643725472037380012,23988461689990,28279588463031155856842649
1654026397,1052029060811408040,27177353365702,24484054980936171375091355,23989361540046,25549167751830523628278549
1653944926,1052010221036665271,26231516389259,24275823691020153575978819,24549928790759,23029875555283420879449580
1653863562,1051946128582916013,28762185950951,25302141566196812385616765,24840472998308,24214608776518684283855646
1653782717,1051943257255272517,28533114416516,25305440415357912571707197,24612834619116,24007887031787065989244279
1653702683,1051941085513301300,27889209790269,25388675582078320309597184,25506112181575,23702104576012039839115862
1653621345,1051916118817341330,25026956549904,22409863093940327054164690,21970272888332,24083973372609585105546045
1653540241,1051871713355913214,26721722321981,23277606667512103988967417,23292194386029,21441492712340292206747258
1653459065,1051860885194859600,22612660745515,19647820947238003645224432,19296302874893,20823280505925103859853169
1653377540,1051839370949893032,21641039067068,19974640143229508993228730,19777049637366,20827997004299375758113670
1653297720,1051832024655253998,21850413557425,19279864852494153484863141,19247528808935,21956507677072098299964782
1653217170,1051826552624431847,21794131226681,19264808444923848419391900,19688724595742,21579630194364354739724787
1653135290,1051820413631442232,21041146944257,18799477383664694312600479,18615696894103,21052707361802871333625336
1653054283,1051797399402886523,19339091072568,17068805056293729209116376,17398071990954,19754274857268133860498449
1652973970,1051767903965160636,17510957502445,15418976599278052512842428,14991986842944,18790602528655416615223375
1652892232,1051734690506605230,18170597443016,16349948604979697017138510,16115173634584,16092826619454397961338660
1652812833,1051712078192387047,18481195359967,15851685856449199601649198,16029686840788,16032664258078475570443082
1652733955,1051698384425852409,18461724910911,16367037295135479197684772,16930211430466,15878777646364321879692535
1652654683,1051676057299518619,17849015700748,15164988406640122649116231,15544573014573,15122269313084351057968709
1652575362,1051528090229434790,17531128228062,14906219128496024850365569,14745325308380,16512962698710222137623203
1652496290,1051516067733057176,16598463434986,14004133790693112129642086,13637781594381,16818705029267363310560550
1652417952,1051465270774195008,17216271065560,12158605750432608570110948,12111479888934,16576643441969321892805277
1652337842,1050875139864116110,28827698607806,9897243268662061101942831,9991230688257,29427761879192820856741228
1652258447,1050744987698544924,25510714259837,24338410319766089187255884,24321656358703,28589510638560438666948561
1652179299,1050713039979385301,24054301062811,23635516301363214006640551,23582417506900,34746632772625568593920944
1652098064,1050650832554451250,29891156286659,29957778019731319736632358,29797508547142,34562231510377405772750640
1652019513,1050611957729757632,32049637895931,31557349836742337346112119,31894673328767,31683610017850663820219895
1651940582,1050602269677446726,31530901214414,32222213132277253235530229,31734668442512,31310482356206648428875885
1651860803,1050587941286122970,31133383870753,30435475093628647251361150,30654602283201,29453778936723014360063842
1651782284,1050583874953814670,31040371178810,30992450136933285262092823,30499039359145,28707912897375230174706364
1651702867,1050565624725855105,28880717079836,28732097724471945514863879,28438138137254,24696072866221735561748720
1651623437,1050552352316752528,30026589080829,28443014802838773999003424,28505759461275,26769781893738885410363793
1651544802,1050547695546016576,29563689775631,28224235362769967976819489,28600949616041,27354768111808433770198798
1651466418,1050539167213382284,27508864101573,26982128175059818087312942,27526325909954,28331598220701725036906878
1651387716,1050527628232324944,26760635417733,26842822645466659282834398,26531904233435,27381462862444661185520949
