UNIX TimeStamp,Virtual Price, stETH Balance,ETH Balance
1655895720,1043305472446207528,503780934894720611533031,128361122694816994569276
1655802849,1043196481387173870,501491031803159390989123,120218939620080933900514
1655717169,1043093191437620877,506749671532675828269827,115738463393612986914046
1655630605,1042992443653143931,504571039349031928848858,117096317246477862904282
1655544843,1042876634079011263,518737717551994412484775,115437692988350577462214
1655459012,1042770536511735434,489840724374314642833076,111603657120853293524664
1655374443,1042657520408077223,489703604735203151156902,113235894071672261534779
1655288625,1042530277020577870,484996620649242151877742,117005458780294517465761
1655201693,1042398337141758727,498670801727333739961768,109891950756167061108032
1655115375,1042198967174858055,506388023798133691907267,126628202857348782178245
1655030421,1042067993854942611,513621242119132767707479,155246388157877737393974
1654945776,1041942214260807068,524169724528682733330795,140342154973345935242885
1654860494,1041802796702859807,560055674645707385258858,159256979039760201785497
1654775275,1041690120450416455,647637913326547087727987,246730240861116638550759
1654691113,1041593669542199008,650574978086647711410652,242306875895126037996061
1654606246,1041576835932400808,593934261113072840094336,255197635260074249332281
1654521038,1041491757469462588,692646653827706043111447,302142832860310672378872
1654435887,1041410287348744794,684634672130354113572312,300073582507738240236157
1654351315,1041330875545779582,685844351923632254173439,300716385513953016098970
1654269773,1041249486675550953,682460304036870763915172,300250343882365878079099
1654188751,1041167986574881327,679633593742509944467698,303428276227081314614972
1654107946,1041086785149026984,667215435123230744832206,315549392739062479646369
1654026397,1041005448163886255,672253593539736449946311,308006368194355166305532
1653944926,1040925331941237055,673458266209679360345197,306256058726183032524276
1653863562,1040841095738627303,680725908002219238730690,288514972465835935782243
1653782717,1040760106033648072,704074373674240564549869,303052132544596405217879
1653702683,1040677003634770235,708801088911380671362851,288254247011514491580835
1653621345,1040591581850885389,701138903153534413055499,297991930250916985504012
1653540241,1040507747169231298,701910917102306025190860,304773874572884961275308
1653459065,1040426436230099196,710881913152350382620334,302200755850794483267918
1653377540,1040344494173497127,705474167596073918081978,305329303309677589008208
1653297720,1040263955209959025,703734302808240581711811,307866111018082040283805
1653217170,1040180390261064553,724664356496924764089431,286948160969616447681156
1653135290,1040100910111128035,729569110254282457595252,282281162026467233301913
1653054283,1040076693894826311,669362934201567226299970,341011797018480820389006
1652973970,1040002926093613082,677222735598623361911201,332629748136038154734871
1652892232,1039925698275105036,567586730252571322935603,291497641443179297257610
1652812833,1039850192817418567,576707395207269417270043,293492542258711784832816
1652733955,1039773505163231479,585086292240235766580709,285544043670970875024219
1652654683,1039697098181544093,562857677443530436188633,286578814467510252188702
1652575362,1039612360892382086,599145650887072739369366,254431709705221196445205
1652496290,1039534797648048466,609134671232654642382404,248167800885152620221813
1652417952,1039390183762128059,643791647190228765525307,282023539685366973051286
1652337842,1039264179812970614,907252314837126371881111,520291351829170192762287
1652258447,1039165396939468511,964077522415436804307351,686812966828731621368596
1652179299,1039101005030433000,963496051485051092458309,692416199497519950461668
1652098064,1039025265433846134,930312470915371809380843,732371422240479706634269
1652019513,1039021832944912189,884846136150021649650464,692204782090478600226432
1651940582,1038948970158936668,829702872544349347228547,780738091720510183636042
1651860803,1038894042612671095,828603136502772345636171,802254298464772614050515
1651782284,1038841256931118811,824400766404277252028507,813675803048693910268971
1651702867,1038787895202171211,831738797482583361204510,806211868375241988595195
1651623437,1038734463646107885,825222538567477536610192,811256552722548549943230
1651544802,1038682461200766696,822968788285505659296288,811346502058454546092561
1651466418,1038627606620594545,812424852102963848349274,796219238254810470438646
1651387716,1038572647611430642,832594496627028198047829,814723185906405841999546
1651310167,1038516972416594512,828591435392981365435240,815268044125839507786147
1651232544,1038462123900294875,829040683158013268178685,818759036933249684450236
1651153799,1038459599911304002,818445177263771270417888,833842063631198989384165
1651075159,1038396577119673888,812949095326254990960100,797851532272168390565224
1650997590,1038341411111087579,815989237944899999869852,799530407212436479545035
